qseqid	TaxID	Kingdom	Phylum	Class	Order	Family	Genus	Species
E250118428L1C024R04202229162|Cx:i:8168|Cy:i:20467|319C3D1D4B76C|414B0	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C026R01903627588|Cx:i:16941|Cy:i:9637|19C0634C01954|5CD65	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C027R03604652535|Cx:i:6736|Cy:i:19638|38DC04864C600|5E0C8	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C032R00402662637|Cx:i:11532|Cy:i:21317|1D92DE8565D61|5ECC6	9531	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Cercocebus	Cercocebus atys
E250118428L1C033R01304587876|Cx:i:14079|Cy:i:15919|278773DD7E5A7|5F830	9565	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus	Theropithecus gelada
E250118428L1C036R00601216530|Cx:i:12288|Cy:i:10550|2996140A44A64|FFFFF	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C036R02901961301|Cx:i:13495|Cy:i:14930|1A81D68245CC3|C239C	9598	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pan	Pan troglodytes
E250118428L1C038R00605042417|Cx:i:12410|Cy:i:18230|257570AA0A34C|567AD	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C038R02504185235|Cx:i:4494|Cy:i:20400|1F0021C8A5301|A859E	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C039R00704798161|Cx:i:7411|Cy:i:20858|14586C2EFC584|FFFFF	9531	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Cercocebus	Cercocebus atys
E250118428L1C040R01403594282|Cx:i:8560|Cy:i:18580|212021004C5|6AE63	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C040R03604242640|Cx:i:15935|Cy:i:5321|3E3534354F501|5C8A1	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C001R01503317191|Cx:i:16402|Cy:i:13493|2296483AC4806|18ABD	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
E250118428L1C004R00304980387|Cx:i:10565|Cy:i:17873|C7DE1C224DE4|66A5D	54180	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	Trachypithecus francoisi
E250118428L1C004R00400589744|Cx:i:3224|Cy:i:20347|36503DF541323|78DCC	77151	Metazoa	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela nigripes
E250118428L1C006R02301429838|Cx:i:7128|Cy:i:20783|230335108F153|E6398	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C006R03804839090|Cx:i:16656|Cy:i:7215|3D7B5A1CE724F|404B3	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C007R03100024066|Cx:i:13852|Cy:i:4268|1E05DF049F71C|6A4D0	9568	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Mandrillus	Mandrillus leucophaeus
E250118428L1C007R03504412928|Cx:i:12378|Cy:i:14904|2B8C11A08DA22|9F835	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C008R02200393676|Cx:i:16654|Cy:i:12910|3520254D6025E|59C69	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C008R02602594300|Cx:i:15413|Cy:i:12540|3567519B46F02|49C80	257877	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca thibetana
E250118428L1C009R00903655613|Cx:i:6061|Cy:i:16481|397ECCC480C40|8CB9D	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C009R02604132285|Cx:i:9323|Cy:i:2025|32440C102211|77F4C	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C010R01002215811|Cx:i:18867|Cy:i:11909|70635CD41D72|5185	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C010R01002409682|Cx:i:16063|Cy:i:13299|5B0012183889|D4E93	257877	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca thibetana
E250118428L1C011R00601211579|Cx:i:11187|Cy:i:7503|19320670DF07C|36E66	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C012R00902095095|Cx:i:13747|Cy:i:3598|139CD13429743|981A2	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C013R01701318497|Cx:i:20688|Cy:i:19332|318149C4249EC|7E017	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C013R03204204133|Cx:i:4042|Cy:i:18080|9A2069DDF825|74163	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C015R01901917430|Cx:i:11169|Cy:i:15675|153028424103F|89955	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C016R00402107240|Cx:i:17331|Cy:i:10521|12996103006B9|60104	9544	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca mulatta
E250118428L1C016R02704901360|Cx:i:4959|Cy:i:10367|1D8479521572E|5FC57	9555	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Papio	Papio anubis
E250118428L1C016R03204570093|Cx:i:6705|Cy:i:11305|2411CD34E4892|78453	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
E250118428L1C017R00404095561|Cx:i:10119|Cy:i:10452|1DCD5253413E1|5BDCA	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C017R02301888558|Cx:i:13800|Cy:i:14001|119A444D7821F|BA96	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C018R03801533856|Cx:i:14622|Cy:i:6462|1B5E08308C825|84611	9545	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca nemestrina
E250118428L1C019R02401289699|Cx:i:5199|Cy:i:13577|5C2512575E8|77F3C	9601	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pongo	Pongo abelii
E250118428L1C019R02900179016|Cx:i:5193|Cy:i:18785|1E54485F9223D|F1D94	9531	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Cercocebus	Cercocebus atys
E250118428L1C023R02702451729|Cx:i:13561|Cy:i:16040|94671695EEE4|67FE9	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C027R00800528577|Cx:i:11948|Cy:i:21002|1CA1ED478A135|67FC1	9541	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis
E250118428L1C028R00204683455|Cx:i:5184|Cy:i:19669|2475C7F564555|8BCCB	9606	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
E250118428L1C029R03203982791|Cx:i:15754|Cy:i:13649|428EE4082A10|53C01	60711	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	Chlorocebus sabaeus
E250118428L1C030R00501928697|Cx:i:9345|Cy:i:7469|83500301A40|436AB	9823	Metazoa	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa
